since_timestamp_local_tz,UniqueHosts,LocationID
2020-04-27,5,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-28,432,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-29,383,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-30,345,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-01,4,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-02,6,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-03,5,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-04,1,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-05,2,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-06,476,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-07,496,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-08,419,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-09,199,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-10,1,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-11,521,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-12,539,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-13,523,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-14,478,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-15,407,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-16,4,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-17,5,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-18,531,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-19,516,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-20,530,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-21,461,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-22,390,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-23,4,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-24,2,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-05-25,513,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
